Categoria,Nombre,URL
4,ARGENTINA,https://drive.google.com/file/d/1H7nIjeEmiv4q9zmnbt9KzFl7p26MSAH7/preview?usp=drivesdk
4,LEJOS,https://drive.google.com/file/d/1A4v01Y3F-iqVBaL4YtfzcM5aSg4GtdcY/preview?usp=drivesdk
3,PARRILLA,https://drive.google.com/file/d/1akPKxW0faGVWE-DxiU8ebfqZxI0ym97B/preview?usp=drivesdk
3,ARROZ,https://drive.google.com/file/d/14J51pGTAqSXw18_esXFqefXach8Eucpd/preview?usp=drivesdk
3,DESAYUNO,https://drive.google.com/file/d/1xudl2sI8fB2ULnRT6xDxui0iSMFGlGHz/preview?usp=drivesdk
3,COMIDA,https://drive.google.com/file/d/1KRaVT-pC9ga6Un2UxcZuf8yHP5KGlUM0/preview?usp=drivesdk
3,AGUA,https://drive.google.com/file/d/1Tx1VotbUHSq676ev4Nmluwmh7rcZPkus/preview?usp=drivesdk
3,LECHE,https://drive.google.com/file/d/1vuhV24posqTYDqG6c_EGw10MwttXPcXf/preview?usp=drivesdk
3,AMARGO,https://drive.google.com/file/d/1kmIblgm1_ySduDY7ZKWgYWsIeTiimFcu/preview?usp=drivesdk
2,PELIRROJO,https://drive.google.com/file/d/1xisLOidoavijbwAZDTaE-OmLwosF8bbf/preview?usp=drivesdk
2,CASTAÑO,https://drive.google.com/file/d/1svkkY3ZT9PQa1HUkYpKnledCC7PxEGI_/preview?usp=drivesdk
5,PEDIR,https://drive.google.com/file/d/1RpEWS0_ALgmpErTmUXgoJyT7Z85q3Vaw/preview?usp=drivesdk
2,RUBIO,https://drive.google.com/file/d/1d1KXzlIZoky-8S7jYs_65MpoAuP8gG0c/preview?usp=drivesdk
5,PACIENCIA,https://drive.google.com/file/d/1DRdUBIaGp_6c-0P3JwXH0j3k4Gp1Gpbr/preview?usp=drivesdk
5,INTERESADO,https://drive.google.com/file/d/1-n58TG35aqp1tMJMsXnDpylRbEP0DDdT/preview?usp=drivesdk
5,MALEDUCADO,https://drive.google.com/file/d/1xJyOa7Dmpqz-7DoGrWonYNgcBMsYIR0E/preview?usp=drivesdk
2,MOROCHO,https://drive.google.com/file/d/1LANHK-3I6qXKYWakIy5qKx2mnGbh5oed/preview?usp=drivesdk
